2021-04-22 17:46:11 - INFO    :: Thread-1 : Tautulli Config :: Writing configuration to file
2021-04-22 17:46:11 - INFO    :: Thread-1 : Tautulli Libraries :: Libraries list refreshed.
2021-04-22 17:46:21 - INFO    :: CP Server Thread-10 : Tautulli Config :: Writing configuration to file
2021-04-22 17:46:21 - INFO    :: CP Server Thread-10 : Tautulli Pmsconnect :: Terminating session 14 (session_id kue93yt9ob0imf2kcaqakkaz).
2021-04-22 17:46:24 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 16 stopped.
2021-04-22 17:46:24 - DEBUG   :: Thread-16 : Tautulli ActivityProcessor :: Play duration for session 16 ratingKey 33300 is 97 secs which is less than 120 seconds, so we're not logging it.
2021-04-22 17:46:24 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Removing sessionKey 16 ratingKey 33300 from session queue
2021-04-22 17:46:33 - INFO    :: CP Server Thread-9 : Tautulli Config :: Writing configuration to file
2021-04-22 17:46:40 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 14 stopped.
2021-04-22 17:46:40 - DEBUG   :: Thread-16 : Tautulli ActivityProcessor :: Play duration for session 14 ratingKey 33300 is 10 secs which is less than 120 seconds, so we're not logging it.
2021-04-22 17:46:40 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Removing sessionKey 14 ratingKey 33300 from session queue
2021-04-22 17:47:13 - INFO    :: CP Server Thread-6 : Tautulli Config :: Writing configuration to file
2021-04-22 17:47:28 - INFO    :: CP Server Thread-9 : Tautulli Newsletters :: Updated newsletter agent: Recently Added (newsletter_id 4).
2021-04-22 17:47:28 - INFO    :: CP Server Thread-9 : Tautulli NewsletterHandler :: Re-scheduled newsletter: Recently Added (newsletter_id 4)
2021-04-22 17:47:31 - INFO    :: CP Server Thread-13 : Tautulli Newsletters :: Updated newsletter agent: Recently Added (newsletter_id 4).
2021-04-22 17:47:31 - INFO    :: CP Server Thread-13 : Tautulli NewsletterHandler :: Re-scheduled newsletter: Recently Added (newsletter_id 4)
2021-04-22 17:47:31 - DEBUG   :: CP Server Thread-11 : Sending test Recently Added newsletter.
2021-04-22 17:47:31 - INFO    :: Thread-2 : Tautulli NewsletterHandler :: Preparing newsletter for newsletter_id 4.
2021-04-22 17:47:32 - INFO    :: Thread-2 : Tautulli Newsletters :: Generating newsletter.
2021-04-22 17:47:32 - INFO    :: Thread-2 : Tautulli Newsletters :: Recently Added newsletter saved to 'newsletter_e3ff7eee.html'
2021-04-22 17:47:34 - INFO    :: Thread-2 : Tautulli Notifiers :: Email notification sent.
